sequenceID,llda
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr4:75452279-190000000,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC77/problems/chrX:37148256-49242997,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr10:18024675-38818835,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr11:69774695-87688378,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr12:145739-7189876,9.381586074829102
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr1:206482221-223747846,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC80/problems/chrX:37148256-49242997,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr3:60000-66170270,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC83/problems/chrX:37148256-49242997,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr10:18024675-38818835,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr12:145739-7189876,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr14:19050000-107289540,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr16:46510000-88389383,9.381585121154785
ATAC_JV_adipose/samples/AC1/MSC91/problems/chr3:60000-66170270,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr10:18024675-38818835,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr10:51448845-125869472,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr11:69774695-87688378,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr12:145739-7189876,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr16:46510000-88389383,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr1:521368-2634220,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr22:20700000-50364777,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr3:60000-66170270,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC70/problems/chr6:60000-58087659,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr10:18024675-38818835,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr11:69774695-87688378,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr14:19050000-107289540,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr16:46510000-88389383,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr22:20700000-50364777,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr2:162200000-234003741,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr3:60000-66170270,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr4:75452279-190000000,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr8:87000000-142766515,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr10:51448845-125869472,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr11:69774695-87688378,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr1:206482221-223747846,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr1:521368-2634220,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr22:20700000-50364777,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr2:162200000-234003741,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr3:60000-66170270,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr4:75452279-190000000,9.381586074829102
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr6:60000-58087659,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr8:48135599-86500000,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr8:87000000-142766515,9.381962776184082
ATAC_JV_adipose/samples/AC2/MSC73/problems/chrX:37148256-49242997,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr10:51448845-125869472,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr12:66500000-109373470,9.381585121154785
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr14:19050000-107289540,9.381585121154785
